count,hate_speech_count,offensive_language_count,neither_count,class,tweet,clean_tweet
3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,mayasolovely woman shouldnt complain cleaning house amp man always take trash
3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,mleew boy dat coldtyga dwn bad cuffin dat hoe st place
3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,urkindofbrand dawg sbabylife ever fuck bitch start cry confused shit
3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,c_g_anderson viva_based look like tranny
6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,shenikaroberts shit hear might true might faker bitch told ya
3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",t_madison_x shit blow meclaim faithful somebody still fucking hoe
3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",__brighterdays sit hate another bitch got much shit going
3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,selfiequeenbri cause im tired big bitch coming u skinny girl
3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,amp might get ya bitch back amp thats
3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",rhythmixx hobby include fighting mariambitch
3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve everyone lol walked conversation like smh
3,0,3,0,1,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea go ig
3,0,3,0,1,""" bad bitches is the only thing that i like """,bad bitch thing like
3,1,2,0,1,""" bitch get up off me """,bitch get
3,0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
3,0,3,0,1,""" bitch plz whatever """,bitch plz whatever
3,1,2,0,1,""" bitch who do you love """,bitch love
3,0,3,0,1,""" bitches get cut off everyday B """,bitch get cut everyday
3,0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
3,0,3,0,1,""" broke bitch cant tell me nothing """,broke bitch cant tell nothing
3,0,3,0,1,""" cancel that bitch like Nino """,cancel bitch like nino
3,0,3,0,1,""" cant you see these hoes wont change """,cant see hoe wont change
3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick kermit video bout fuck ig
3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got ya bitch tip toeing hardwood floor httptcocouwqlq
3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",pussy lip like heaven door
3,0,3,0,1,""" hoe what its hitting for """,hoe hitting
3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussy ocean dr gave pussy pill
3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy
3,0,3,0,1,""" i spend my money how i want bitch its my business """,spend money want bitch business
3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",id say im back old old bitch would get excited
3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussy nigga shut
3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,youre toe aint done pussy stink
3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done bitter bitch wrap angry bird there app
3,0,3,0,1,""" is that ya bitch """,ya bitch
3,0,3,0,1,""" it aint nothing to cut a bitch off """,aint nothing cut bitch
3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane as bitch shot
3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,lame cry hoe thats tear clown
3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,like snoop said dont love hoe
3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,momma said pussy cat inside doghouse
3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hated hoe favorite mw sevenone httptcobmdsvmcrc
3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick httptcobzrdlkfu
3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe future voice
3,0,3,0,1,""" post a picture of that pussy get 200 likes """,post picture pussy get like
3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug happyhumpday httptcorjsymibb
3,0,3,0,1,""" quick piece of pussy call it a drive by """,quick piece pussy call drive
3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,running round like brand new pussy thats bout get fucked
3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,bitch even worst theyll send guy
3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,hoe like nigga spend money talk bout
3,1,2,0,1,""" we dont trust these niggas all these bitches """,dont trust nigga bitch
3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall nigga cuffing hoe cause yall aint never bitch
3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet darealkha da bitch cut pregnant bound thank god
3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitch love music
3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",vandalsavage teanna trump probably cleaner twitter hoe
3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",dahomiefuzz gay nigga couldnt wait act like bitch tonight
3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",the_paradox ima steal cat replace pitbull sbabylife the_paradox bitch
3,0,3,0,1,"""&amp; he's gone always be a hoe""",amp he gone always hoe
3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch took tic tacsi like movie
3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna get money fuck model bitch russell simmons
3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",seniorprobs probably wouldnt mind school much didnt deal bitch as teacher retweet
3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",axdemery im fucking fag said
3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",arizzleindacut female think dating pussy cute httptcovxbjggsz stuff make pussy
3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",addictedguys simplyaddictedtoguys httptcojlhizmf woof woof hot scally lad
3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",adorebellaaa ya ever asked bitch bitch kanye voice yes
3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",adorezoey gone bring ur side bitch game know ya gf friend swear
3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",allaboutmanfeet httptcogzupfumev woof woof hot sol
3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",allyhaaa lemmie eat oreo amp dish one oreo lol
3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",almightywayne __ jetsandaswisher gook ___ bitch fuck httptcopxmganc maybe youll get better httptcotprevwfqs
3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",almightywayne __ fuck red malone man bitch as niggah could please use complete sentence
3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",arizonasfinest eggplant emoji doey say looked like scream lmao
3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",autoworid hennessey venom gt httptcoiegmnkaj thats one sexy bitch
3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao
3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",bro_hen eaglesnation every eagle need see pic posted bitch said racist shit
3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",bvsedchink yo fuck skateboarding yall wood pushing faggot man ball life httptcovbczphmtamjemiebenn
3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",babyanimalpics baby monkey bathtime httptcokpwadlfrawwwe sooo adorable
3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",baylaagottabody aint shit damn skippy lol
3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",beeasyjrizzy ever kill ant sidewalk think damn nigga way get pussyno b must gtchance
3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",beenbasedb _kudabrazyy httptcoluubglyu ring mvp bitch lol
3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",beenflynsolo ppl talk bad ghettohood kid growing nigga funnn
9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",bestproadvice fact tattoostattoo httptcozwnbhpdze he pussy tattooing nipple
3,0,3,0,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bill nel_ayden bitch wanting act like nigga bad shit aint cuteee nigga act like bitch
3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",bitchjones get worshiping bitch httptcorcejcjou woof woof
3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",blackchiquitita wow thatmanpalmer im lost buttcheek piercings httptcoynguyouq yeah shes hoe
3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",blacknerdjade ok si shed rather broke bitch shrug shell tell work
3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",blackmantide whalelookyhere howdydowdy queer gaywad
3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",brokenpiecesmsc itsnotadam faggot read tweet dat wasnt even funny lol
3,0,3,0,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",brosconfessions bitch ungrateful httptcoebgwbx fr lulwhore
3,0,3,0,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""",cashandboobies kidnapped yo bitch
3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",cb_baby white_thunduh alsarabsss he beaner smh tell he mexican
3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",ccobey aydanmccoy happy birthday nigs thanks yo
6,1,5,0,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",chlldhoodruiner ur teacher tell homework httpstcorkkvawij bitch need go
3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",caelang edham caelang nigga eating hoe lol hell yea lol john paul nigga said john paul httptcoosipbkprh
3,0,3,0,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",canifuckornah would yall lil ugly bald headed bitch stop making makeup amp weave
3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",carelessone leaf better win damn game go riot shit earlychristmas better start looting nig
3,0,3,0,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",causewereguys going back school suck dick hoe attend
3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",causewereguys way fuck yo bitch httptcojtzer year old
3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",celeynichole white_thunduh come never bring food dont car retard
3,0,3,0,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",chadmfverbeck richnow doesnt show hella tinder hoe im friend anymore chill brought like like prople
3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",chandlerparsons bout cowboy shutup pussy
3,0,3,0,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",clicquotsuave lmaooo nigga krillz_nuh_care httptcoaanpsujmyi ltbitch want like depressing shitfoh
3,0,3,0,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",coley_cee lil_aerii girl know spitting shit amp going lbvsbitch plz
3,0,3,0,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",coley_cee let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick
3,0,2,1,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",comedyposts harlem shake excuse go full retard second
3,0,3,0,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",comedytruth amen miley httptcopkbtfyxrokay dont need act like hoe bc shes emotionally damaged foh
3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",corybandz one loyal female wayyy better hoe idc
3,0,3,0,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",crhedrys pussy licking pussy meow meow stopwhitepeople httpstcokeegdcjsk
3,0,3,0,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",dbab_holloway check th man cowboysnation even faggot ny fan stand
3,0,3,0,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",dgotbricks happen vixen ent bitch got ran threw side like foothill bitch
3,0,3,0,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",daedavidavie white_thunduh im bitch okay nude pat wow
3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway httptcoxuccwoetmn
3,0,3,0,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",diamondloudkush fuck wrong bitch nobody know
3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch",dietrich yall shut upp make bitch
3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",dionairish hate im pregnant type bitch
3,0,3,0,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",doyou_q got bitch dm dont ever readem top
3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",domworldpeace baseball season win yankee love started
3,0,3,0,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",dommoneek little stupid bitch dont fuck yooouuu
3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",dreadheadari really asked dead as serious tho could say bitch wheet lol
3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",dunderbail im early bird im night owl im wise worm
3,0,1,2,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",edgarpixar overdosing heavy drug doesnt sound bad tonight pussy shit every day
3,0,0,3,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",el_grillo pit bull photographed lovely fairy tale creature httptcoqsmoolhthey fairy tale creature
3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",ferocious_ghost stname_bravo aw fag dont tweet aw lol
3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",flokid long lakers trash could careless thats real cc benballer hahaha
3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",frosstyy hrheyd didnt say anything tho kiss faggot
3,0,0,3,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",funnypicsdepot play soccer cheat girl wear khaki coloured cargo haircut httptcozuaiqwbir yup
3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same",gstatus could go fat as bitch lap
3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",gedmelle missed call da yo po bitch twitter finna screamn freemoneymelle
6,0,6,0,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",gtm_al ya side bitch gotta know rule shitanybody ask cousin jersey thinkin bout moving lmmfao
3,0,3,0,1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",gagatom malefoot amo los pie httptcoqehdkki fuck yeah
3,0,3,0,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",girlthatsvonte hoe thinking meat wont slap as ainna bruh
3,0,3,0,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",girlthatsvonte yall bitch wit edge talking
3,0,3,0,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",girlthatsvonte yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitch bag shit
3,0,3,0,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",girllssues wanna sex mom fuck right pussy came damn got hacked like fuck
6,0,6,0,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",gizzy_jones kiss eye open watch bitchlmfao
3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",goofstroop woulda coulda shoulda as hoe
3,0,3,0,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",gotti_ltf happy bday bitch as nigga jetsandaswisherpreciate bitch roll
3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",hbmostdope jayee pipinhoes used send bitch
6,0,6,0,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",hbmostdope ugly bitch like im wcw duh bitch aint nobody el
3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",halotgmg stname_bravo nigga know hacky sack hoe nah throw look pass lmao
3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",heartlessfuck glad im getting outta atlanta nothing bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",hermosaalma isnt ghettoits smart httpstcompazqjswf im idc
3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",hiimjorib would wife hoe cuz wouldnt care cheating force relationship first place
3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",hornyfacts single isnt excuse hoe theonemiss_luu
3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch",hoskinsty white boy power bitch black power bitch
3,0,3,0,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",hudgens let get drunk get blowed spit shit spark blunts amp fuck hoe bro white dude chill
3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",iscoutgirls verbally_abrupt bitch around world back
3,0,3,0,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",itsyahboiray anelylove dont get dick sucked yo party bad bitch im fr gone set anelylove
3,0,2,1,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",itsyesie oomf sooo cute probably hoe lot
3,0,3,0,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",jayten every cartoon alway _nuffsaid saving hoe lmao httptcoukdwtzx lmao damn captain saveahoe
3,0,1,2,2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",jreebo want get nose bad bois scally chav sockfetish stinking httptcofeqxgnwi hot sox leg
3,0,3,0,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",jamesynba wish bitch like brother keezy ooow bet
6,0,6,0,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",jasminepore dressed cat halloween basic pussy
4,0,4,0,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",jewelxo pornhub get gaming stream feature dumb bitch gtfo pornhub get katielt
3,0,3,0,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",joebudden stop scared choke sex bitch as nigga shell like say guy hit woman bed foh
3,0,3,0,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",johnnyperez white_thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig
6,0,6,0,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",kazatta takehov oh man molly ho fuck ya seed fixed
3,0,3,0,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",kelsiebelsi youre man refer every girl bitch
3,0,3,0,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga
3,0,1,2,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",keyshawnswag peel peel bring back rewind back im move shaq line ooow tf said trash
3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",kingcuh stanley io io alu record ho vine sai pe hahahaha lol anywaaays haha
3,0,3,0,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",kinghendo vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
3,0,3,0,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",kingteej ol dirty foot as bitch funny
3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",king_shawn white_thunduh thats get yellow flag amazing hell yeah niggy
3,0,3,0,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",kissmysmilee dont got time bitch actin iffy
3,0,0,3,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",knightfanneal ucfpinkparty come stay alive knight nation still early bird special comeatmeut
3,0,2,1,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",kyranadiya hoe aint loyal aint httptcohubsvbkglsmfh amp wonder nobody decent want
3,0,3,0,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",lcistj bruh stud keep thinking im soft hell ask ya girl many time screamed bitch oh okay stfu bye hoe
3,0,3,0,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",lodycash dry pussy bitch always blame condom
3,0,3,0,1,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",lunaraps shut yo bitch as httpstcoiemnugm
3,0,3,0,1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",laflaregodjosh gucci mane jail dropping mixtapes every month hoe cant even text back
